item_id,barcode,name,pack_size,retail_price,tp_price,cost_price,quantity,rack_location,company_name,generic_name,category_name
3720,3720,PENSULID 100MG TAB,1,34.5,30.0,30.0,0,,,,TABLET
2879,2879,PEPTIBAN 60ML SYP,1,44.0,38.26,38.26,0,,,,SYRUP
2974,2974,PERAMINE TAB,1,0.0,0.0,0.0,0,,,,TABLET
4465,4465,PERCEMOL INF,1,103.5,90.0,90.0,0,,,,OTHER
3219,3219,PERILIUM 60MLSYP,1,65.55,57.0,57.0,3,,,,SYRUP
4730,4730,PERILIUM TAB,1,32.2,28.0,28.0,0,,,,TABLET
3179,3179,PERMANENT CREAM,1,207.0,180.0,180.0,0,,,,CREAM
2601,2601,PEROSOL SYP,1,0.0,0.0,0.0,0,,,,SYRUP
5362,5362,PETRA 40MG CAP,1,150.14,130.56,130.56,1,,,,CAPSULE
4321,4321,PGB-NEO TAB,1,0.0,0.0,0.0,0,,,,TABLET
3874,3874,PHENOTIL 5MG TAB,1,4.6,4.0,4.0,0,,,,TABLET
543,543,PHLOGIN GEL 20GM,1,40.25,35.0,35.0,0,,,,CREAM
2990,2990,PHLOGIN INJ,1,74.75,65.0,65.0,0,,,,INJECTION
3439,3439,PICTOR 100MG TAB,1,143.75,125.0,125.0,0,,,,TABLET
5316,5316,PINEIN 10MG TAB,1,97.75,85.0,85.0,2,,,,TABLET
2528,2528,PIOTRIN 20MG POWER,1,66.7,58.0,58.0,0,,,,OTHER
4231,4231,PIROXICAM 20MG CAP,1,34.5,30.0,30.0,0,,,,CAPSULE
492,492,PLADEX 100ML A P L,1,35.65,31.0,31.0,268,,,,OTHER
3531,3531,PLADEX N/S 100ML MEDSOLE,1,37.95,33.0,33.0,0,,,,OTHER
3552,3552,PLIVACLOX 500MG CAP,1,63.25,55.0,55.0,0,,,,CAPSULE
2678,2678,PLUC SACHI,1,130.87,113.8,113.8,0,,,,SACHET
3497,3497,POAMI 20MG CAP,1,161.0,140.0,140.0,0,,,,CAPSULE
2331,2331,PODINA 240ML WELFIT SYP,1,43.7,38.0,38.0,0,,,,SYRUP
4913,4913,POLY-M TAB,1,126.5,110.0,110.0,0,,,,TABLET
3501,3501,POLYBION 120ML SYP,1,78.1,67.91,67.91,0,,,,SYRUP
5216,5216,POLYCID 240ML SYP,1,72.45,63.0,63.0,55,,,,SYRUP
3828,3828,POLYSIM 120ML SYP,1,2.3,2.0,2.0,0,,,,SYRUP
5267,5267,POLYSLING BELT,1,368.0,320.0,320.0,0,,,,OTHER
3110,3110,POLYTRAN DS SYP,1,33.35,29.0,29.0,0,,,,SYRUP
3082,3082,POLYTRAN SYP,1,31.05,27.0,27.0,0,,,,SYRUP
3410,3410,POLYWORM TAB,1,17.25,15.0,15.0,0,,,,TABLET
3104,3104,POLYXIL FORT SYP,1,42.55,37.0,37.0,0,,,,SYRUP
612,612,POLYXIL SYP,1,0.0,0.0,0.0,0,,,,SYRUP
436,436,POMPERC 100MG INJ,1,25.87,22.5,22.5,0,,,,INJECTION
2102,2102,PONDS FACEWASH,1,345.0,300.0,300.0,0,,,,OTHER
3710,3710,PONFAB 250MG TAB,1,11.12,9.67,9.67,0,,,,TABLET
4149,4149,PONSID FORT TAB,1,23.0,20.0,20.0,0,,,,TABLET
4654,4654,POWDER LADY SACHE,1,23.0,20.0,20.0,2,,,,SACHET
4604,4604,POWER PLUS CREAM,1,80.5,70.0,70.0,0,,,,CREAM
3309,3309,POWERPLEX INJ,1,7.36,6.4,6.4,0,,,,INJECTION
3727,3727,PRALPT 40MG INJ,1,41.4,36.0,36.0,0,,,,INJECTION
2922,2922,PRANAX 0.5MG TAB,1,120.75,105.0,105.0,0,,,,TABLET
4733,4733,PRAZOL 40MG CAP,1,402.5,350.0,350.0,0,,,,CAPSULE
3817,3817,PREAZIT-L 40MG INJ,1,69.0,60.0,60.0,0,,,,INJECTION
4755,4755,PREDNICOL EYE DROPS,1,64.4,56.0,56.0,0,,,,DROPS
3579,3579,PREDNISYNTH DROPS,1,0.0,0.0,0.0,0,,,,DROPS
4894,4894,PREGFOL 120ML SYP,1,36.22,31.5,31.5,2,,,,SYRUP
3268,3268,PREGNANCY STRIP (BIO CHECK),1,11.5,10.0,10.0,0,,,,OTHER
3972,3972,PREVA-28F TAB,1,71.3,62.0,62.0,0,,,,TABLET
5334,5334,PREVASMA 4MG SACHET,1,5.75,5.0,5.0,0,,,,SACHET
4752,4752,PRICKLY HEAT SPRAY,1,86.25,75.0,75.0,6,,,,INHALER
3950,3950,PRIMOLUT N TAB,1,152.52,132.63,132.63,7,,,,TABLET
4826,4826,PRINTER PAPER CBC,1,115.0,100.0,100.0,6,,,,OTHER
4740,4740,PRINTER PAPER LASER JET,1,0.0,0.0,0.0,0,,,,OTHER
4739,4739,PRINTER PAPER TERMAL,1,264.5,230.0,230.0,7,,,,OTHER
624,624,PROGYUTON TAB,1,0.0,0.0,0.0,0,,,,TABLET
4805,4805,PROLEN 120ML SYP,1,89.7,78.0,78.0,0,,,,SYRUP
3714,3714,PROMASS 100ML INFUSION,1,94.3,82.0,82.0,58,,,,INJECTION
3857,3857,PROMY ALLO PACK,1,34.96,30.4,30.4,0,,,,OTHER
3683,3683,PROSTALOC 100MG TAB,1,166.75,145.0,145.0,0,,,,TABLET
3062,3062,PROSTREAT 0.4MG CAP,1,568.81,494.62,494.62,0,,,,CAPSULE
3213,3213,PROTAC MOUTH WASH,1,57.5,50.0,50.0,4,,,,OTHER
